AB型血	AB型血 🆎️
上邊	上邊 👆🏻
上鎖	上鎖 🔒
上锁	上锁 🔒
上面	上面 👆🏻
上頭	上頭 👆🏻
下	下 ⬇️
下一首	下一首 ⏭️
下午好	下午好 🙂
下大雨	下大雨 ☔️
下头	下头 👇🏻
下弦月	下弦月 🌗 🌜
下跪	下跪 🧎🏻
下跪女	下跪女 🧎🏻‍♀️
下跪男	下跪男 🧎🏻‍♂️
下載郵件	下載郵件 📩
下载邮件	下载邮件 📩
下边	下边 👇🏻
下邊	下邊 👇🏻
下雨	下雨 ☔️
下雪	下雪 🌨️
下面	下面 👇🏻
下頭	下頭 👇🏻
不	不 🙅🏻
不一定	不一定 😕
不丹	不丹 🇧🇹
不会	不会 😝
不会吧	不会吧 😟 😦
不会啦	不会啦 😝
不信	不信 😓 😳
不关我事	不关我事 🤷🏻
不关我事女	不关我事女 🤷🏻‍♀️
不关我事男	不关我事男 🤷🏻‍♂️
不准	不准 🚫
不准听	不准听 🙉
不准吸烟	不准吸烟 🚭
不准吸煙	不准吸煙 🚭
不准看	不准看 🙈
不准聽	不准聽 🙉
不准說	不准說 🙊
不准说	不准说 🙊
不可能	不可能 😛 😟
不听	不听 🙉
不告訴你	不告訴你 😏
不告诉你	不告诉你 😏
不哭	不哭 🤗
不喜欢	不喜欢 🥴
不喜歡	不喜歡 🥴
不女	不女 🙅🏻‍♀️
不好	不好 🆖️ 🙅🏻
不好吧	不好吧 😰
不好女	不好女 🙅🏻‍♀️
不好意思	不好意思 🙏🏻
不好玩	不好玩 😝 😴
不好男	不好男 🙅🏻‍♂️
不对吧	不对吧 🤨
不對吧	不對吧 🤨
不干	不干 😝 🙅🏻
不干女	不干女 🙅🏻‍♀️
不干男	不干男 🙅🏻‍♂️
不幹	不幹 😝 🙅🏻
不幹女	不幹女 🙅🏻‍♀️
不幹男	不幹男 🙅🏻‍♂️
不开心	不开心 😞
不得	不得 🚫
不懂	不懂 😵
不敢听	不敢听 🙉
不敢看	不敢看 🙈
不敢聽	不敢聽 🙉
不敢說	不敢說 🙊
不敢说	不敢说 🙊
不是吧	不是吧 😢 😥 😿 😿 🤨
不晓得	不晓得 😲
不曉得	不曉得 😲
不會	不會 😝
不會吧	不會吧 😟 😦
不會啦	不會啦 😝
不清楚	不清楚 😲
不爽	不爽 ☹️
不男	不男 🙅🏻‍♂️
不看	不看 😣
不知道	不知道 😲 🤷🏻
不知道女	不知道女 🤷🏻‍♀️
不知道男	不知道男 🤷🏻‍♂️
不管	不管 🤷🏻
不管女	不管女 🤷🏻‍♀️
不管男	不管男 🤷🏻‍♂️
不聽	不聽 🙉
不能听	不能听 🙉
不能看	不能看 🙈
不能聽	不能聽 🙉
不能說	不能說 🙊 🤭
不能说	不能说 🙊 🤭
不行	不行 😝 🙅🏻
不行女	不行女 🙅🏻‍♀️
不行男	不行男 🙅🏻‍♂️
不要	不要 😣
不要怕	不要怕 🤗
不見	不見 😣
不见	不见 😣
不許看	不許看 🙈
不許聽	不許聽 🙉
不許說	不許說 🙊
不說	不說 🤐 🤭
不說了	不說了 🤭
不講	不講 🤐
不讲	不讲 🤐
不许听	不许听 🙉
不许看	不许看 🙈
不许说	不许说 🙊
不说	不说 🤐 🤭
不说了	不说了 🤭
不通	不通 ⛔️ 🚧
不錯	不錯 😎
不錯啊	不錯啊 😀 😺
不错	不错 😎
不错啊	不错啊 😀 😺
不開心	不開心 😞
不關我事	不關我事 🤷🏻
不關我事女	不關我事女 🤷🏻‍♀️
不關我事男	不關我事男 🤷🏻‍♂️
不高兴	不高兴 😩
不高興	不高興 😩
专家	专家 🧑🏻‍🔬
专家女	专家女 👩🏻‍🔬
专家男	专家男 👨🏻‍🔬
世界	世界 🌐
东京	东京 🗻
东加	东加 🇹🇴
东帝汶	东帝汶 🇹🇱
东正教	东正教 ☦️
両替	両替 💱
两人	两人 👥
两仪	两仪 ☯️
两点	两点 🕑
两点半	两点半 🕝
两边打开	两边打开 🔛
並肩	並肩 🧑🏻‍🤝‍🧑🏻
中产	中产 🧑🏻‍💼
中产女	中产女 👩🏻‍💼
中产男	中产男 👨🏻‍💼
中午好	中午好 🙂
中华人民共和国	中华人民共和国 🇨🇳
中华民国	中华民国 🇹🇼
中国	中国 🇨🇳
中国大陆	中国大陆 🇨🇳
中國	中國 🇨🇳
中國大陸	中國大陸 🇨🇳
中学	中学 🏫
中學	中學 🏫
中指	中指 🖕🏻
中方块	中方块 ◽️ ◾️
中方塊	中方塊 ◽️ ◾️
中產	中產 🧑🏻‍💼
中產女	中產女 👩🏻‍💼
中產男	中產男 👨🏻‍💼
中秋	中秋 🌕 🎑
中秋節	中秋節 🌕 🎑
中秋节	中秋节 🌕 🎑
中等白方	中等白方 ◽️
中等黑方	中等黑方 ◾️
中華人民共和國	中華人民共和國 🇨🇳
中華民國	中華民國 🇹🇼
中非	中非 🇨🇫
丰收	丰收 🎑
串烧	串烧 🍢
串燒	串燒 🍢
丸子	丸子 🍡
丹麥	丹麥 🇩🇰
丹麦	丹麦 🇩🇰
为何	为何 🤔
为啥	为啥 🤔
为甚么	为甚么 🤔
主厨	主厨 🧑🏻‍🍳
主厨女	主厨女 👩🏻‍🍳
主厨男	主厨男 👨🏻‍🍳
主廚	主廚 🧑🏻‍🍳
主廚女	主廚女 👩🏻‍🍳
主廚男	主廚男 👨🏻‍🍳
主意	主意 💭
举起拳头	举起拳头 ✊🏻
举重	举重 🏋🏻
举重女	举重女 🏋🏻‍♀️
举重男	举重男 🏋🏻‍♂️
义大利	义大利 🇮🇹
义大利面	义大利面 🍝
乌克兰	乌克兰 🇺🇦
乌兹别克	乌兹别克 🇺🇿
乌兹别克斯坦	乌兹别克斯坦 🇺🇿
乌干达	乌干达 🇺🇬
乌拉圭	乌拉圭 🇺🇾
乌鱡	乌鱡 🦑
乌龟	乌龟 🐢
乍得	乍得 🇹🇩
乐曲	乐曲 🎼
乒乓	乒乓 🏓
乒乓球	乒乓球 🏓
乒乓球拍	乒乓球拍 🏓
乔治亚	乔治亚 🇬🇪
乖	乖 😬
乖孩子	乖孩子 🤓
乘	乘 ✖️
九	九 9️⃣
九枝灯台	九枝灯台 🕎
九枝燈臺	九枝燈臺 🕎
九点	九点 🕘
九点半	九点半 🕤
九點	九點 🕘
九點半	九點半 🕤
也就这样	也就这样 😪
也就這樣	也就這樣 😪
也門	也門 🇾🇪
也门	也门 🇾🇪
习题	习题 📖
书	书 📖
书写	书写 ✍🏻️
书包	书包 🎒
书呆子	书呆子 🤓
书本	书本 📖
书签	书签 📑 🔖
乱噏	乱噏 🤥
乱讲	乱讲 🤥
乳	乳 🥛
乳液	乳液 🧴
乳酪	乳酪 🧀
乾杯	乾杯 🥂
亂噏	亂噏 🤥
亂講	亂講 🤥
二	二 2️⃣
云	云 ☁️
云霄飞车	云霄飞车 🎢
五	五 5️⃣
五弦琴	五弦琴 🪕
五指	五指 🖐🏻
五点	五点 🕔
