# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	36547
#@/user_id	a2539fd9-2f40-4b0c-9b41-1f929aaf0d62
bao zheng 	保證	c=3 d=1.26073e-24 t=36547
be 	别	c=1 d=1.11955e-05 t=36547
bei 	北	c=1 d=0.995012 t=36547
bei 	唄	c=1 d=5.49466e-15 t=36547
bei 	背	c=12 d=0.120633 t=36547
bei 	被	c=46 d=0.0270518 t=36547
bei 	貝	c=0 d=3.85336e-18 t=36547
bei an 	備案	c=3 d=0.00346515 t=36547
bei da 	北大	c=1 d=2.55068e-16 t=36547
bei dan ci 	背單詞	c=2 d=0.231388 t=36547
bei di 	貝蒂	c=1 d=0.00157264 t=36547
bei fen 	備份	c=30 d=0.341298 t=36547
bei guo 	背鍋	c=1 d=1.77037e-14 t=36547
bei jing 	北京	c=10 d=0.000572785 t=36547
bei jing 	背景	c=5 d=6.79641e-09 t=36547
bei jing se 	背景色	c=1 d=9.785e-10 t=36547
bei mian 	背面	c=1 d=9.69589e-20 t=36547
bei pian 	被騙	c=0 d=2.58923e-17 t=36547
bei pian le 	被騙了	c=1 d=2.60221e-16 t=36547
bei ren 	被人	c=1 d=0.00410726 t=36547
bei shan chu 	被刪除	c=2 d=0.00021535 t=36547
bei ta 	被他	c=1 d=0.131336 t=36547
bei wei 	卑微	c=1 d=0.0208584 t=36547
bei xuan 	備選	c=1 d=0.960789 t=36547
bei zhu 	備註	c=4 d=4.2409e-17 t=36547
ben 	本	c=1 d=1.74313e-08 t=36547
ben ben 	本本	c=1 d=8.00992e-08 t=36547
ben ben 	笨笨	c=1 d=8.05007e-08 t=36547
ben di 	本地	c=23 d=0.00174675 t=36547
ben di ce 	本地測	c=1 d=4.87747e-25 t=36547
ben di hua 	本地化	c=1 d=0.00158052 t=36547
ben ji 	本機	c=10 d=0.00159641 t=36547
ben lai 	本來	c=10 d=0.0135686 t=36547
ben lai shi 	本來是	c=1 d=1.2732e-18 t=36547
ben shen 	本身	c=2 d=0.00018046 t=36547
ben yue 	本月	c=1 d=7.36723e-24 t=36547
ben zi 	本子	c=1 d=1.89255e-05 t=36547
bi 	比	c=25 d=0.557706 t=36547
bi bu de yi 	逼不得已	c=1 d=1.99881e-30 t=36547
bi ji 	筆記	c=3 d=6.40431e-07 t=36547
bi ji ben 	筆記本	c=5 d=0.0668703 t=36547
bi jiao 	比較	c=46 d=0.456941 t=36547
bi jiao ao 	比較奧	c=1 d=4.255e-07 t=36547
bi jiao cha 	比較查	c=1 d=5.03302e-12 t=36547
bi jiao da 	比較大	c=2 d=9.85447e-05 t=36547
bi jiao di 	比較低	c=2 d=1.10059e-10 t=36547
bi jiao duo 	比較多	c=2 d=0.0127168 t=36547
bi jiao duo de 	比較多的	c=1 d=2.23206e-05 t=36547
bi jiao fang bian 	比較方便	c=1 d=2.09879e-16 t=36547
bi jiao gao 	比較搞	c=1 d=0.000143382 t=36547
bi jiao hao 	比較好	c=5 d=0.486752 t=36547
bi jiao hao de 	比較好的	c=1 d=6.5727e-05 t=36547
bi jiao kai 	比較開	c=1 d=2.97782e-14 t=36547
bi jiao kao pu 	比較靠譜	c=1 d=0.000291637 t=36547
bi jiao rong yi 	比較容易	c=1 d=1.14828e-09 t=36547
bi jiao te shu 	比較特殊	c=1 d=0.000274654 t=36547
bi jiao wen 	比較穩	c=1 d=1.0365e-10 t=36547
bi jiao xiao 	比較小	c=2 d=0.29671 t=36547
bi jing 	畢竟	c=2 d=3.80388e-12 t=36547
bi li 	比例	c=3 d=0.319819 t=36547
bi ru 	比如	c=13 d=0.0101648 t=36547
bi ta 	比他	c=1 d=0.00168231 t=36547
bi ta hao de 	比他好的	c=1 d=0.0169075 t=36547
bi tian 	必填	c=2 d=1.03702 t=36547
bi wo 	比我	c=1 d=0.0243554 t=36547
bi xu 	必須	c=5 d=4.83321e-06 t=36547
bian 	變	c=4 d=0.000197092 t=36547
bian 	遍	c=1 d=0.225373 t=36547
bian 	邊	c=2 d=0.00798652 t=36547
bian cheng 	編程	c=5 d=0.00222582 t=36547
bian cheng 	變成	c=3 d=6.96349e-08 t=36547
bian de 	變的	c=1 d=0.802519 t=36547
bian dong 	變動	c=3 d=0.489192 t=36547
bian hao 	編號	c=2 d=4.26529e-06 t=36547
bian hua 	變化	c=3 d=0.000113353 t=36547
bian ji 	編輯	c=13 d=0.06609 t=36547
bian ji de 	編輯的	c=1 d=4.84572e-07 t=36547
bian ji qi 	編輯器	c=5 d=0.0191737 t=36547
bian jie 	邊界	c=1 d=6.8349e-24 t=36547
bian le 	變了	c=1 d=1.09548e-14 t=36547
bian li 	遍歷	c=2 d=4.64449e-08 t=36547
bian liang 	變量	c=3 d=0.000617396 t=36547
bian ma 	編碼	c=4 d=0.00327971 t=36547
bian yi qi 	編譯器	c=1 d=0.000238772 t=36547
biao 	表	c=31 d=3.14587 t=36547
biao biao 	表表	c=1 d=3.24366e-20 t=36547
biao da shi 	表達式	c=1 d=1.16925e-16 t=36547
biao gan 	標杆	c=1 d=2.06719e-14 t=36547
biao ge 	表格	c=3 d=0.000110555 t=36547
biao ji 	標記	c=3 d=1.70587e-05 t=36547
biao li 	表裏	c=10 d=0.0830013 t=36547
biao mian 	表面	c=1 d=0.00634556 t=36547
biao qian 	標籤	c=33 d=0.124335 t=36547
biao qian ji 	标签集	c=5 d=4.97089e-05 t=36547
biao qing 	表情	c=7 d=0.00223069 t=36547
biao qing bao 	表情包	c=1 d=1.88145e-24 t=36547
biao shi 	表示	c=6 d=0.00219579 t=36547
biao shi de 	表示的	c=1 d=6.63989e-07 t=36547
biao ti 	標題	c=6 d=0.0186513 t=36547
biao zhong 	表中	c=1 d=0.000198394 t=36547
biao zhong de 	表中的	c=1 d=0.00010622 t=36547
biao zhun 	標準	c=1 d=4.51966e-11 t=36547
bie 	別	c=0 d=3.51023e-09 t=36547
bie de 	別的	c=16 d=0.919159 t=36547
bie gei wo 	別給我	c=1 d=3.52782e-08 t=36547
bie re 	別熱	c=1 d=0.00416933 t=36547
bie ren 	別人	c=6 d=0.318291 t=36547
bie ren de 	別人的	c=2 d=1.76244e-20 t=36547
bing 	並	c=5 d=0.0516019 t=36547
bing bing 	冰冰	c=1 d=1.24113e-12 t=36547
bing bu 	並不	c=0 d=2.37743e-13 t=36547
bing bu zhi chi 	並不支持	c=1 d=2.38935e-12 t=36547
bing de 	冰的	c=1 d=1.3113e-12 t=36547
bing fa 	併發	c=2 d=4.90495e-21 t=36547
bing fa shu 	并发数	c=1 d=1.6584e-10 t=36547
bing mei you 	並沒有	c=1 d=8.758e-29 t=36547
